Unnamed: 0.1,Unnamed: 0,nomeRestaurante,curtidas,rating,dataVisita,dataPublicacao,comentario,titulo,IDUsuarioFK,annotations
2924,10314,Coco Bambu Conceito Vila Olímpia,0,5,2020-1-1,2020-1-5,excelentes pratos  camarão internavional e camarão coco bambu  com excelente atendimento do garçom gustavo,Coco Bambu Conceito,Y3362ISrodrigos,
2925,41617,Coco Bambu - Dom Pastel,0,5,2014-8-1,2014-8-17,amei os pasteis que comi  achei o salgado com recheio demais  mas estava delicioso  o pastel é enorme então peça o pequeno que ja tem o tamanho de um pastel de feira  o doce eu pedi mini  maravilhoso ,Otimo!,viagemconsciente,
2926,6020,Coco Bambu Anália Franco,2,5,2017-8-1,2017-12-22,lugar excelente  ambiente agradável  os pratos são muito bem servidos  cardápio bem elaborado  porém os preços são um pouco acima da média dependendo do prato escolhido ,Eduardo,e_avileis,
2927,146969,Coco Bambu Botafogo Rio,0,5,2021-6-1,2021-6-23,cumin francisco   excelente atendimento  educadissimo  prestativo e muito simpático  com certeza voltarei ,Almoço de comemoração de aniversário,lindynezc,
2928,66850,Coco Bambu Anhembi,0,5,2018-4-1,2018-4-1,excelente atendimento  comida maravilhosa  ambiente agradável e a execelnte companhia da minha amada mãe  parabéns aos amigos que nos atenderam thiago e thalita  pelo ótimo atendimento ,Almoço de Páscoa!!!! Sensacional,Denys M,
2929,184455,Coco Bambu Recife,0,5,2018-11-1,2018-11-23,muito bom a comida é maravilhosa  atendimento muito bom com o garçom edimilson  recomendo demais ,Noite em família,Júlia N,
2930,22927,Coco Bambu Anhembi,0,5,2018-8-1,2018-8-27,o atendimento é sensacional  desde quando você é recebido na porta até pagar a conta e ir embora    o cardápio é muito bem elaborado  as opções são diversas desde as entradas até a sobremesa   destaque para os pratos camarão internacional e rede de pescador  são mais,Impecável!!!,abm2015,
2931,26276,Coco Bambu Santo André,0,5,2019-8-1,2019-8-1,excelente atendimento do garçom cebolinha  comida e ambiente sensacionais  espero voltar outras vezes ,Comemoração com amigos,Navigator626334,
2932,137056,Coco Bambu - Dom Pastel,1,5,2019-10-1,2019-10-17,lugar agradável  eduardo fez um ótimo atendimento  a comida proporciona uma experiência única  recomendo ,Almoço,Deyjane A,
2933,113226,Coco Bambu Frutos do Mar,0,5,2021-6-1,2021-6-9,pedimos um prato de camarão coco brasil  a comida e o ambiente estavam excelentes e fomos extremamente bem atendidos pelo garçom neto ,"Comida, ambiente e atendimento 10!!!",karinasQ6889TM,
2934,157973,Coco Bambu Flamboyant,0,5,2017-9-1,2017-9-11,almoço delicioso com meu noivo e nossa pedida foi o camarão internacional com chopp caneca    super recomendo ,Domingão,EcoAção A,
2935,75418,Coco Bambu,1,5,2016-11-1,2016-12-4,atendimento muito bom e no mesmo nível dos  cocos bambus  que já visitei  os garçons são atenciosos e comprometidos em prestar um bom atendimento  um exemplo disso é que na última vez visitei  ao ouvir meu bate papo sobre futebol  o garçom tomou a iniciativa de mais,Excelente!!!,Diogo22,
2936,104444,Coco Bambu JK,0,5,2018-8-1,2018-8-5,ótimo atendimento do expedito e do carlos e comida sensacional  ambiente aconchegante  com uma música incrível  sem palavras  muito bom ,Jantar com meu noivo.,jack201097,
2937,97413,Coco Bambu Águas Claras,2,3,2017-11-1,2018-2-25,fui à filial de águas claras comemorar meu aniversário   a primeira decepção foi logo ao chegar  tratava se de uma quinta feira  reservei com antecedência e solicitei que a mesa fosse próxima à brinquedoteca  pois tanto eu quanto meus familiares temos crianças pequenas  não apenas ficamos longe mais,Esperava mais do ambiente,KellenCruz,
2938,64649,Coco Bambu Frutos do Mar,2,5,2017-7-1,2017-7-11,vista linda  localização maravilhosa  qualidade da comida   serviços rápidos e excelente atendimento  porções generosas e o astral do espaço é maravilhoso ,Diversão e Charme,geizaa,
2939,39107,Coco Bambu Rio Norte Shopping,0,5,2022-3-1,2022-3-18,gente o garçom henrique é simplesmente fabuloso  atendimento impecável  exemplo de profissional  parabéns pelo excelente serviço ,Exemplo de atendimento,brunoi2801,
2940,69780,Coco Bambu Lago Sul,0,5,2019-12-1,2019-12-27,excelente atendimento do garçom queiroz  comida boa  ambiente agradável  música boa  recomendo a ida ,Cocobambu,livia_monte12,
2941,154335,Coco Bambu Campinas,1,3,2019-1-1,2019-1-6,amplo  bonito e confortável ele é  mas  nessa visita  deixou a desejar  o atendimento  apesar de muito simpático  foi excessivamente demorado e confuso  o chopp é muito bem tirado e as caipiroscas são ótimas  mas os pratos decepcionaram   frios  carne bem passada e não mais,Não foi um bom dia,ulyssesn2013,
2942,77342,Coco Bambu JK,0,5,2018-3-1,2018-7-3,comemoramos  eu  esposa  filha e prima comadre  aniversário da minha esposa e fomos muito bem atendidos e a comida como sempre estava maravilhosa ,Aniversário Esposa,NonatoC5,
2943,36443,Coco Bambu JK,0,5,2018-5-1,2018-6-1,ambiente amplo bem decorado e boa música ambiente  serviço muito bom e atendimento eficiente  qualidade de primeira e frequência seletiva  enfim  excelente ,"Ambiente, serviço e atendimento, qualidade e frequência. Muito bons. Excelente.",NorbertoPedrini,
2944,114180,Coco Bambu Campinas,0,5,2018-8-1,2018-8-6,ótimo jantar  preço justo  ótimo atendimento do garçom quaresma  pedimos o camarão internacional e foi suficiente para quatro pessoal  ,Ótimo jantar,priscilao996,
2945,65659,Coco Bambu Anhembi,0,2,2018-3-1,2018-7-4,cardapio enorme  tem pratos que são bem legal e outros que nem sei porque estão no cardapaio   ambiente ultra gelado  ar condicionado comida e bebida rápidas mais,poderia ser melhor,Heloisa Helena M,
2946,594,Coco Bambu JK,0,5,2018-6-1,2018-6-8,o prato  camarão internacional  é muito saboroso  o atendimento é bom e o ambiente é ótimo para qualquer tipo de visitação ,Muito bom!!!,Giovanna A,
2947,7578,Coco Bambu Uberlândia,0,5,2020-8-1,2020-8-7,depois de 5 meses retornei ao coco bambu e fui atendida pela cida muito educada  prestativa  elegante  agradável e simpática  ficamos muito felizes pelo atendimento dela ,Happy hour,639c_ssial,
2948,36453,Coco Bambu Porto Alegre,0,5,2017-9-1,2017-9-25,excelente almoço  ambiente tranquilo  camarão em crosta acompanhado de risoto de limão delicioso e atendimento cortês e discreto feito pelo garçon mael ,Almoço ,madalenaps,
2949,25735,Coco Bambu - Dom Pastel,1,5,2022-2-1,2022-2-2,tudo maravilhoso  boa comida  ambiente super agradável  boa música e atendimento espetacular do cristian ,Almoço,carolinemU7775DF,
